,SODIUM,CREATININE,HEMOGLOBIN,LACTATE
MIMIC_vs_e-ICU,0.03,-0.18,-0.31,-0.02
MIMIC_vs_PLAGH,-0.33,0.40,-0.79,nan
MIMIC_vs_AUMC,-0.26,0.01,0.04,0.28
MIMIC_vs_HJ23,-0.21,-0.00,-0.19,0.21
e-ICU_vs_MIMIC,-0.03,0.18,0.31,0.02
e-ICU_vs_PLAGH,-0.33,0.44,-0.36,nan
e-ICU_vs_AUMC,-0.26,0.18,0.35,0.27
e-ICU_vs_HJ23,-0.22,0.17,0.14,0.21
PLAGH_vs_MIMIC,0.33,-0.40,0.79,nan
PLAGH_vs_e-ICU,0.33,-0.44,0.36,nan
PLAGH_vs_AUMC,0.07,-0.42,0.84,nan
PLAGH_vs_HJ23,0.11,-0.54,0.58,nan
AUMC_vs_MIMIC,0.26,-0.01,-0.04,-0.28
AUMC_vs_e-ICU,0.26,-0.18,-0.35,-0.27
AUMC_vs_PLAGH,-0.07,0.42,-0.84,nan
AUMC_vs_HJ23,0.04,-0.01,-0.24,-0.08
HJ23_vs_MIMIC,0.21,0.00,0.19,-0.21
HJ23_vs_e-ICU,0.22,-0.17,-0.14,-0.21
HJ23_vs_PLAGH,-0.11,0.54,-0.58,nan
HJ23_vs_AUMC,-0.04,0.01,0.24,0.08
